# WaniKani - Vocabulary
# Generated on May 29, 2016 06:49 AM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
v_教育;vocabulary;教育;education;;;;;きょういく;11
v_仲良く;vocabulary;仲良く;friendly, good terms;;;;;なかよく;11
v_深夜;vocabulary;深夜;middle of the night, late at night;;;;;しんや;12
v_京都;vocabulary;京都;kyoto, kyouto;;;;;きょうと;12
v_五感;vocabulary;五感;the five senses, five senses;;;;;ごかん;13
v_枚数;vocabulary;枚数;number of sheets, number of flat objects;;;;;まいすう;18
v_仲;vocabulary;仲;relationship, relation;;;;;なか;11
v_悲しい;vocabulary;悲しい;sad;;;;;かなしい;12
v_根;vocabulary;根;root;;;;;ね;12
v_温泉;vocabulary;温泉;hot springs, onsen;;;;;おんせん;12
v_最深;vocabulary;最深;deepest, the deepest;;;;;さいしん;12
v_短期;vocabulary;短期;short period, short term;;;;;たんき;12
v_終わり;vocabulary;終わり;the end, end, the finish, finish;;;;;おわり;12
v_容易;vocabulary;容易;ease, easily, easy, simple;;;;;ようい;19
v_多忙;vocabulary;多忙;busy, pressure of work;;;;;たぼう;19
v_左利き;vocabulary;左利き;left handed;;;;;ひだりきき;13
v_銀;vocabulary;銀;silver;;;;;ぎん;13
v_願望;vocabulary;願望;desire, wish, aspiration;;;;;がんぼう;14
v_松;vocabulary;松;pine, pine tree;;;;;まつ;14
v_人格;vocabulary;人格;character, personality;;;;;じんかく;14
v_災い;vocabulary;災い;personal disaster, personal misfortune;;;;;わざわい;20
v_数える;vocabulary;数える;to count;;;;;かぞえる;8
v_不便;vocabulary;不便;inconvenient, not convenient;;;;;ふべん;11
v_共有;vocabulary;共有;shared, co ownership, joint ownership, share;;;;;きょうゆう;11
v_意見;vocabulary;意見;opinion, view;;;;;いけん;11
v_時々;vocabulary;時々;sometimes, at times;;;;;ときどき;11
v_仲直り;vocabulary;仲直り;reconciliation, make peace with;;;;;なかなおり;11
v_神社;vocabulary;神社;shinto shrine;;;;;じんじゃ;11
v_仏;vocabulary;仏;buddha;;;;;ほとけ;15
